"","Total population","Male","Female","Under 5 years","5 to 17 years","Median age (years)","Median household income (dollars)","Gas","Electricity","All other fuels","No fuel used","year","State","child","STATEFP","stusps","TotalFedAction_EnergyEnv_2024","TotalFedAction_2024","Ratio","Year","state","fipsStateCode","Disasters","2024"
"1",5157699,0.483,0.517,0.055,0.164,39.6,66659,0.308,0.675,0.008,0.009,2024,"Alabama",0.219,1,"AL",2597296159.29,48967124329.48,0.0530416313977076,2024,"AL",1,67,69.13
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Alabama  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",740133,0.527,0.473,0.061,0.175,36.3,95665,0.504,0.153,0.335,0.008,2024,"Alaska",0.236,2,"AK",2506678604.84,12757613467.37,0.196484915556605,2024,"AK",2,5,69.86
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Alaska  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",7582384,0.499,0.501,0.052,0.157,39.4,81486,0.368,0.591,0.033,0.009,2024,"Arizona",0.209,4,"AZ",3224693364.69,80677285060.71,0.0399702761720775,2024,"AZ",4,5,74.44
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Arizona  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",3088354,0.491,0.509,0.057,0.169,39.1,62106,0.425,0.541,0.03,0.005,2024,"Arkansas",0.226,5,"AR",1940278197.42,29759153233.02,0.0651993752049073,2024,"AR",5,15,66.57
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Arkansas  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",39431263,0.499,0.501,0.053,0.16,38.4,100149,0.635,0.301,0.032,0.032,2024,"California",0.213,6,"CA",24880602240.45,383593893044.36,0.064861830940496,2024,"CA",6,29,76.11
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"California  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",5957494,0.506,0.494,0.051,0.151,38,97113,0.711,0.255,0.029,0.006,2024,"Colorado",0.202,8,"CO",3850768222.34,48452459920.19,0.0794751851336942,2024,"CO",8,4,74.08
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Colorado  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",3675069,0.491,0.509,0.049,0.149,41.2,96049,0.418,0.202,0.376,0.004,2024,"Connecticut",0.198,9,"CT",2701346635.17,100652088421.25,0.0268384558884094,2024,"CT",9,9,78.17
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Connecticut  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1051917,0.482,0.518,0.052,0.151,42.1,87534,0.517,0.391,0.087,0.006,2024,"Delaware",0.203,10,"DE",677423992.79,11022417074.31,0.0614587515808012,2024,NA,NA,NA,75.9
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Delaware  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",702250,0.473,0.527,0.056,0.129,34.9,109707,0.46,0.499,0.02,0.021,2024,"District of Columbia",0.185,11,"DC",8107475845.32,25357506602.79,0.319726855337897,2024,NA,NA,NA,83.7
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"District of Columbia  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",23372215,0.492,0.508,0.049,0.143,42.7,77735,0.067,0.897,0.011,0.025,2024,"Florida",0.192,12,"FL",8097092218.14,255953810528.76,0.0316349743002954,2024,"FL",12,223,75.33
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Florida  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",11180878,0.487,0.513,0.055,0.172,38,79991,0.411,0.576,0.008,0.006,2024,"Georgia",0.227,13,"GA",5100563734.18,83481330503.47,0.0610982563816228,2024,"GA",13,343,72.77
"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Georgia  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1446146,0.501,0.499,0.053,0.15,41.5,100745,0.057,0.444,0.056,0.444,2024,"Hawaii",0.203,15,"HI",1610950283.54,15278314002.68,0.105440317777041,2024,"HI",15,1,77.93
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Hawaii  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",2001619,0.503,0.497,0.055,0.178,37.8,81166,0.577,0.351,0.069,0.003,2024,"Idaho",0.233,16,"ID",1267570357.8,17595614270.74,0.0720389943934984,2024,"ID",16,8,71.81
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Idaho  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",12710158,0.494,0.506,0.052,0.16,39.4,83211,0.793,0.189,0.011,0.007,2024,"Illinois",0.212,17,"IL",7520661371.91,114310065672.81,0.0657917684470273,2024,"IL",17,8,77.43
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Illinois  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",6924275,0.496,0.504,0.058,0.17,38.3,71959,0.652,0.321,0.023,0.004,2024,"Indiana",0.228,18,"IN",3933144485.42,186542314759.54,0.021084462742354,2024,NA,NA,NA,70.49
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Indiana  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",3241488,0.501,0.499,0.057,0.167,39,75501,0.72,0.253,0.021,0.006,2024,"Iowa",0.224,19,"IA",2017905062.48,29267610450.91,0.068946696754236,2024,"IA",19,67,71.01
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Iowa  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",2970606,0.501,0.499,0.058,0.174,38,75514,0.711,0.269,0.017,0.002,2024,"Kansas",0.232,20,"KS",1666860254.58,24444459644.69,0.0681896952850863,2024,"KS",20,82,68.61
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Kansas  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",4588372,0.496,0.504,0.057,0.165,39.3,64526,0.412,0.554,0.029,0.005,2024,"Kentucky",0.222,21,"KY",2558495888.8,150576248991.54,0.0169913642153733,2024,"KY",21,69,69.12
"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Kentucky  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",4597740,0.488,0.512,0.059,0.172,38.7,60986,0.35,0.637,0.007,0.006,2024,"Louisiana",0.231,22,"LA",3588693080.46,52388760419.27,0.0685012023903505,2024,"LA",22,86,66.18
"38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Louisiana  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1405012,0.493,0.507,0.042,0.133,44.9,76442,0.243,0.135,0.619,0.003,2024,"Maine",0.175,23,"ME",1593879689.05,17302720379.63,0.0921172887314546,2024,"ME",23,20,74.24
"40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Maine  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",6263220,0.485,0.515,0.056,0.162,39.8,102905,0.465,0.454,0.075,0.006,2024,"Maryland",0.218,24,"MD",12690361464.41,68310831516.82,0.185773781150436,2024,NA,NA,NA,78.33
"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Maryland  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",7136171,0.488,0.512,0.049,0.141,40.1,104828,0.565,0.205,0.224,0.007,2024,"Massachusetts",0.19,25,"MA",6990849397.69,84144592257.47,0.0830813865767991,2024,"MA",25,2,79.71
"44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Massachusetts  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",10140459,0.495,0.505,0.052,0.156,40.4,72389,0.836,0.125,0.034,0.005,2024,"Michigan",0.208,26,"MI",6031274684.72,111701098419.2,0.0539947661220429,2024,"MI",26,9,75.69
"46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Michigan  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",5793151,0.5,0.5,0.055,0.168,39.2,87117,0.757,0.199,0.037,0.008,2024,"Minnesota",0.223,27,"MN",4092853439.82,208564256738.79,0.019623944696075,2024,"MN",27,32,74.08
"48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Minnesota  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",2943045,0.483,0.517,0.056,0.173,39.3,59127,0.403,0.578,0.012,0.007,2024,"Mississippi",0.229,28,"MS",2035777271.02,30547327759.82,0.0666433832453826,2024,"MS",28,6,71.3
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Mississippi  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",6245466,0.493,0.507,0.055,0.164,39.4,71589,0.575,0.392,0.029,0.004,2024,"Missouri",0.219,29,"MO",3179988293.27,76082104660.8,0.0417967971239423,2024,"MO",29,15,69.86
"52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Missouri  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1137233,0.506,0.494,0.047,0.155,41.3,75340,0.635,0.284,0.077,0.004,2024,"Montana",0.202,30,"MT",1426545793.68,12961389204.52,0.110061180261644,2024,"MT",30,26,69.51
"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Montana  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",2005466,0.503,0.497,0.061,0.179,37.4,76376,0.661,0.318,0.016,0.004,2024,"Nebraska",0.24,31,"NE",1789863098.09,21966819024.64,0.0814803042753858,2024,"NE",31,50,68.77
"56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Nebraska  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",3267467,0.504,0.496,0.052,0.159,39.5,81134,0.638,0.33,0.026,0.006,2024,"Nevada",0.211,32,"NV",1579583826.17,26970784738.74,0.0585664763361941,2024,"NV",32,5,74.16
"58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Nevada  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1409032,0.498,0.502,0.044,0.132,43.6,99782,0.426,0.119,0.447,0.008,2024,"New Hampshire",0.176,33,"NH",1085554884.52,13235409860.49,0.0820189851287167,2024,"NH",33,12,76.36
"60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"New Hampshire  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",9500851,0.492,0.508,0.055,0.16,40.1,104294,0.759,0.167,0.066,0.008,2024,"New Jersey",0.215,34,"NJ",4975869803.78,78605636825.86,0.0633016918977879,2024,NA,NA,NA,79.64
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"New Jersey  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",2130256,0.5,0.5,0.049,0.16,39.9,67816,0.697,0.225,0.074,0.004,2024,"New Mexico",0.209,35,"NM",1906336087.83,27026921607.16,0.0705347103728222,2024,"NM",35,13,71.66
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"New Mexico  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",19867248,0.488,0.512,0.052,0.148,40.1,85820,0.645,0.165,0.174,0.016,2024,"New York",0.2,36,"NY",17586331942.41,237673200436.09,0.0739937523883301,2024,"NY",36,21,79.66
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"New York  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",11046024,0.489,0.511,0.055,0.158,39.4,73958,0.304,0.66,0.03,0.007,2024,"North Carolina",0.213,37,"NC",3978893247.31,101940042434.51,0.0390317009124867,2024,"NC",37,215,74.15
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"North Carolina  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",796568,0.513,0.487,0.055,0.169,36.7,77871,0.534,0.41,0.04,0.016,2024,"North Dakota",0.224,38,"ND",1268316602.09,89163386999.54,0.014224634626055,2024,"ND",38,13,63.09
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"North Dakota  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",11883304,0.494,0.506,0.055,0.161,39.8,72212,0.695,0.265,0.035,0.005,2024,"Ohio",0.216,39,"OH",6185991619.93,107476161932.52,0.0575568712977854,2024,"OH",39,11,72.37
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Ohio  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",4095393,0.498,0.502,0.059,0.176,37.4,66148,0.558,0.419,0.019,0.004,2024,"Oklahoma",0.235,40,"OK",2566480232.39,41215220044.2,0.0622702057550016,2024,"OK",40,38,67.9
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Oklahoma  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",4272371,0.498,0.502,0.046,0.147,40.8,85220,0.389,0.54,0.066,0.005,2024,"Oregon",0.193,41,"OR",2955632211.65,51747895198.02,0.0571159889757814,2024,"OR",41,33,75.75
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Oregon  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",13078751,0.493,0.507,0.051,0.15,41.2,77545,0.571,0.26,0.163,0.005,2024,"Pennsylvania",0.201,42,"PA",9720985314.49,240135278315.8,0.0404812878085577,2024,"PA",42,13,73.91
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Pennsylvania  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1112308,0.492,0.508,0.046,0.137,41,83504,0.583,0.142,0.27,0.005,2024,"Rhode Island",0.183,44,"RI",1380487138.23,13269483012.03,0.10403473420769,2024,"RI",44,8,76.14
"80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Rhode Island  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",5478831,0.488,0.512,0.054,0.156,40.7,72350,0.283,0.697,0.012,0.008,2024,"South Carolina",0.21,45,"SC",2264604845.05,119666070593.94,0.0189243687355159,2024,"SC",45,140,70.6
"82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"South Carolina  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",924669,0.514,0.486,0.058,0.177,38.7,76881,0.646,0.316,0.032,0.006,2024,"South Dakota",0.235,46,"SD",1322208547.3,9634656661.08,0.137234630543834,2024,"SD",46,25,68.62
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"South Dakota  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",7227750,0.49,0.51,0.057,0.161,39.1,71997,0.335,0.646,0.014,0.006,2024,"Tennessee",0.218,47,"TN",3551978129.48,96165735744.37,0.0369360053452089,2024,"TN",47,29,69.63
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Tennessee  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",31290831,0.499,0.501,0.062,0.182,35.9,79721,0.38,0.605,0.008,0.006,2024,"Texas",0.244,48,"TX",12930252885.5,212257519855.38,0.0609177610965676,2024,"TX",48,154,69.69
"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Texas  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",3503613,0.508,0.492,0.065,0.201,32.5,96658,0.814,0.167,0.016,0.003,2024,"Utah",0.266,49,"UT",1932744334.79,23373588570.74,0.082689242558564,2024,"UT",49,6,68.76
"90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Utah  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",648493,0.494,0.506,0.041,0.131,43.9,82730,0.396,0.118,0.482,0.004,2024,"Vermont",0.172,50,"VT",906219491.39,7780144979.66,0.116478483853344,2024,"VT",50,39,77.19
"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Vermont  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",8811195,0.494,0.506,0.054,0.159,39.4,92090,0.369,0.577,0.047,0.007,2024,"Virginia",0.213,51,"VA",4461158037.71,79099495062.68,0.0563993238411306,2024,"VA",51,24,74.93
"94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Virginia  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",7958180,0.504,0.496,0.053,0.155,38.7,99389,0.353,0.6,0.04,0.006,2024,"Washington",0.208,53,"WA",4577337110.03,69764545954.64,0.065611221966615,2024,"WA",53,28,75.9
"96",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Washington  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",1769979,0.498,0.502,0.049,0.148,42.9,60798,0.444,0.482,0.069,0.005,2024,"West Virginia",0.197,54,"WV",1986789678.16,21875447264.37,0.0908228140046314,2024,"WV",54,34,64.96
"98",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"West Virginia  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",5960975,0.501,0.499,0.051,0.156,40.7,77488,0.766,0.183,0.044,0.006,2024,"Wisconsin",0.207,55,"WI",3891063901.98,102524684653.5,0.037952459109048,2024,NA,NA,NA,73.81
"100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Wisconsin  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",587618,0.513,0.487,0.048,0.164,40.2,75532,0.694,0.242,0.06,0.005,2024,"Wyoming",0.212,56,"WY",964584884.41,5994978811.51,0.160898797933707,2024,"WY",56,4,61.76
"102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024,"Wyoming  Total",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
